0,N192,-12298.694329729246
1,N193,-12298.694329729246
2,N194,-12298.694329729246
3,N195,-12298.694329729246
4,N196,-12298.694329729246
5,N197,-12298.694329729246
6,N198,-12298.694329729246
7,N199,-12298.694329729246
8,N200,-12298.694329729246
9,N201,-12298.694329729246
10,N202,-12298.694329729246
11,N203,-12297.92599304765
12,N204,-12297.92599304765
13,N205,-12297.92599304765
14,N206,-12297.92599304765
15,N207,-12297.92599304765
16,N208,-12297.92599304765
17,N209,-12297.92599304765
18,N210,-12297.92599304765
19,N211,-12297.92599304765
20,N212,-12297.92599304765
21,N213,-12297.92599304765
22,N214,-12297.92599304765
23,N215,-12297.92599304765
24,N216,-12297.92599304765
25,N217,-12297.92599304765
26,N218,-12297.92599304765
27,N219,-12297.92599304765
28,N220,-12297.92599304765
29,N221,-12297.92599304765
30,N222,-12297.92599304765
31,N223,-12297.92599304765
32,N224,-12297.92599304765
33,N225,-12297.92599304765
34,N226,-12297.92599304765
35,N227,-12297.92599304765
36,N228,-12297.92599304765
37,N229,-12297.904759539953
38,N230,-12297.904759539953
39,N231,-12283.529346488649
40,N232,-12283.529346488649
41,N233,-12283.529346488649
42,N234,-12283.529346488649
43,N235,-12283.529346488649
44,N236,-12283.529346488649
45,N237,-12283.529346488649
46,N238,-12283.529346488649
47,N239,-12283.529346488649
48,N240,-12283.529346488649
49,N241,-12283.529346488649
50,N242,-12283.529346488649
51,N243,-12283.529346488649
52,N244,-12283.529346488649
53,N245,-12283.529346488649
54,N246,-12283.529346488649
55,N247,-12283.529346488649
56,N248,-12283.529346488649
57,N249,-12283.529346488649
58,N250,-12283.529346488649
59,N251,-12283.529346488649
60,N252,-12283.529346488649
61,N253,-12283.529346488649
62,N254,-12283.529346488649
63,N255,-12283.529346488649
64,N256,-12283.529346488649
65,N257,-12283.529346488649
66,N258,-12283.529346488649
67,N259,-12283.529346488649
68,N260,-12283.529346488649
69,N261,-12283.529346488649
70,N262,-12283.529346488649
71,N263,-12283.529346488649
72,N264,-12283.529346488649
73,N265,-12283.529346488649
74,N266,-12283.529346488649
75,N267,-12283.529346488649
76,N268,-12283.529346488649
77,N269,-12283.529346488649
78,N270,-12283.516857053593
79,N271,-12283.516857053593
80,N272,-12283.516857053593
81,N273,-12283.516857053593
82,N274,-12283.516857053593
83,N275,-12283.516857053593
84,N276,-12283.516857053593
85,N277,-12283.516857053593
86,N278,-12283.516857053593
87,N279,-12283.516857053593
88,N280,-12283.516857053593
89,N281,-12283.516857053593
90,N282,-12283.516857053593
91,N283,-12283.516857053593
92,N284,-12283.516857053593
93,N285,-12283.516857053593
94,N286,-12283.516857053593
95,N287,-12283.516857053593
96,N288,-12283.516857053593
97,N289,-12283.516857053593
98,N290,-12283.516857053593
99,N291,-12283.516857053593
100,N292,-12283.516857053593
101,N293,-12283.516857053593
102,N294,-12283.516857053593
103,N295,-12283.516857053593
104,N296,-12283.516857053593
105,N297,-12283.516857053593
106,N298,-12283.516857053593
107,N299,-12283.516857053593
108,N300,-12283.516857053593
109,N301,-12283.516857053593
110,N302,-12283.516857053593
111,N303,-12283.516857053593
112,N304,-12283.516857053593
113,N305,-12283.516857053593
114,N306,-12283.516857053593
115,N307,-12283.516857053593
116,N308,-12283.516857053593
117,N309,-12283.516857053593
118,N310,-12283.516857053593
119,N311,-12283.516857053593
120,N312,-12283.516857053593
121,N313,-12283.516857053593
122,N314,-12283.516857053593
123,N315,-12283.516857053593
124,N316,-12283.516857053593
125,N317,-12283.516857053593
126,N318,-12283.516857053593
127,N319,-12283.516857053593
128,N320,-12283.516857053593
129,N321,-12283.516857053593
130,N322,-12283.516857053593
131,N323,-12283.516857053593
132,N324,-12283.516857053593
133,N325,-12283.516857053593
134,N326,-12283.516857053593
135,N327,-12283.516857053593
136,N328,-12283.516857053593
137,N329,-12283.516857053593
138,N330,-12283.516857053593
139,N331,-12283.516857053593
140,N332,-12283.516857053593
141,N333,-12283.516857053593
142,N334,-12283.516857053593
143,N335,-12283.516857053593
144,N336,-12283.516857053593
145,N337,-12283.516857053593
146,N338,-12283.516857053593
147,N339,-12283.516857053593
148,N340,-12283.516857053593
149,N341,-12283.516857053593
150,N342,-12283.516857053593
151,N343,-12283.516857053593
152,N344,-12283.516857053593
153,N345,-12283.516857053593
154,N346,-12283.516857053593
155,N347,-12283.516857053593
156,N348,-12283.516857053593
157,N349,-12283.516857053593
158,N350,-12283.516857053593
159,N351,-12283.40601809281
160,N352,-12283.40601809281
161,N353,-12283.40601809281
162,N354,-12283.40601809281
163,N355,-12283.40601809281
164,N356,-12283.40601809281
165,N357,-12283.40601809281
166,N358,-12283.40601809281
167,N359,-12283.40601809281
168,N360,-12283.40601809281
169,N361,-12283.40601809281
170,N362,-12283.40601809281
171,N363,-12283.40601809281
172,N364,-12283.40601809281
173,N365,-12283.40601809281
174,N366,-12283.40601809281
175,N367,-12283.40601809281
176,N368,-12283.40601809281
177,N369,-12283.40601809281
178,N370,-12283.40601809281
179,N371,-12283.40601809281
180,N372,-12283.40601809281
181,N373,-12283.40601809281
182,N374,-12283.40601809281
183,N375,-12283.40601809281
184,N376,-12283.40601809281
185,N377,-12283.40601809281
186,N378,-12283.40601809281
187,N379,-12283.40601809281
188,N380,-12283.40601809281
189,N192,-12283.40601809281
190,N193,-12283.40601809281
191,N194,-12283.40601809281
192,N195,-12283.40601809281
193,N196,-12283.40601809281
194,N197,-12283.40601809281
195,N198,-12283.40601809281
196,N199,-12283.40601809281
197,N200,-12283.40601809281
198,N201,-12283.40601809281
199,N202,-12283.40601809281
200,N203,-12283.40601809281
201,N204,-12283.40601809281
202,N205,-12283.40601809281
203,N206,-12283.40601809281
204,N207,-12283.40601809281
205,N208,-12283.40601809281
206,N209,-12283.40601809281
207,N210,-12283.40601809281
208,N211,-12283.40601809281
209,N212,-12283.40601809281
210,N213,-12283.40601809281
211,N214,-12283.40601809281
212,N215,-12283.40601809281
213,N216,-12283.40601809281
214,N217,-12283.40601809281
215,N218,-12283.40601809281
216,N219,-12283.40601809281
217,N220,-12283.40601809281
218,N221,-12283.40601809281
219,N222,-12283.40601809281
220,N223,-12283.40601809281
221,N224,-12283.40601809281
222,N225,-12283.40601809281
223,N226,-12283.40601809281
224,N227,-12283.40601809281
225,N228,-12283.40601809281
226,N229,-12283.40601809281
227,N230,-12283.40601809281
228,N231,-12283.40601809281
229,N232,-12283.40601809281
230,N233,-12283.40601809281
231,N234,-12283.40601809281
232,N235,-12283.40601809281
233,N236,-12283.40601809281
234,N237,-12283.40601809281
235,N238,-12283.40601809281
236,N239,-12283.40601809281
237,N240,-12283.40601809281
238,N241,-12283.40601809281
239,N242,-12283.40601809281
240,N243,-12283.40601809281
241,N244,-12283.40601809281
242,N245,-12283.40601809281
243,N246,-12283.40601809281
244,N247,-12283.40601809281
245,N248,-12283.40601809281
246,N249,-12283.40601809281
247,N250,-12283.40601809281
248,N251,-12283.40601809281
249,N252,-12283.40601809281
250,N253,-12283.40601809281
251,N254,-12283.40601809281
252,N255,-12283.40601809281
253,N256,-12283.40601809281
254,N257,-12283.40601809281
255,N258,-12283.40601809281
256,N259,-12283.40601809281
257,N260,-12283.40601809281
258,N261,-12283.40601809281
